"REF_DATE","GEO","DGUID","Age of mother","Marital status of mother","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401427","1.8.2.1","506","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401428","1.8.2.2","12.3","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, married","Number of live births","Number","223","units","0","v21401429","1.8.3.1","3231","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401430","1.8.3.2","78.3","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401431","1.8.4.1","17","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401432","1.8.4.2","0.4","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401433","1.8.5.1","194","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401434","1.8.5.2","4.7","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401435","1.8.6.1","16","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401436","1.8.6.2","0.4","","","","1"
